name,start_time,end_time,stage,photo_url
SKARAOKE,8/2/2013 17:30:00,8/2/2013 18:10:00,野,http://assets.thewall.tw/uploads/artist/avatar/133/large_162053ea-3001-4eda-9e2d-0a502d01a29e.jpg
TIZZY BAC,8/2/2013 18:40:00,8/2/2013 19:30:00,野,http://assets.thewall.tw/uploads/artist/avatar/6/large_494663e7-dea8-4507-a52b-dcffbe948d0d.jpg
Suede,8/2/2013 20:00:00,8/2/2013 21:40:00,野,http://assets.thewall.tw/uploads/artist/avatar/204/large_599d2e83-7983-4925-bab1-87bc51ef8bbb.jpg
Acid Rabbit,8/2/2013 19:50:00,8/2/2013 20:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/297/large_812aed6c-3c2d-4db2-bdbd-904903b78289.jpg
Yosho Nori,8/2/2013 20:50:00,8/2/2013 21:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/290/large_d8bd3f55-6671-47ae-9d21-16788e282713.jpg
Naja,8/2/2013 21:50:00,8/2/2013 22:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/291/large_bde67fca-69f4-4606-affd-b082e5d4f7e5.jpg
Nosaj Thing,8/2/2013 22:50:00,8/2/2013 23:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/214/large_feec2eb3-3096-4a71-81a6-1aff3b671e20.jpg
TOKiMONSTA,8/2/2013 23:50:00,8/3/2013 1:20:00,電,http://assets.thewall.tw/uploads/artist/avatar/209/large_32524101-0a5b-4650-aef2-f64a8f58cdd1.jpeg
Dave Nada,8/3/2013 1:20:00,8/3/2013 2:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/288/large_0fa603c6-e63a-4153-ab38-33b652ab688c.jpg
James Ho,8/3/2013 2:50:00,8/3/2013 4:00:00,電,http://assets.thewall.tw/uploads/artist/avatar/289/large_b2ef43c3-5684-4f07-b572-02dbdf08042e.jpg
謊言留聲機,8/4/2013 14:10:00,8/4/2013 14:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/77/large_b3245285-e25e-4eb3-9fa4-b9035ad6c2fe.jpg
Dronetonics,8/4/2013 15:20:00,8/4/2013 16:00:00,電,http://assets.thewall.tw/uploads/artist/avatar/286/large_3d311878-c203-4a0b-a61d-20a0e9287d88.jpg
go chic,8/4/2013 16:30:00,8/4/2013 17:10:00,電,http://assets.thewall.tw/uploads/artist/avatar/285/large_4412b2ae-3d3d-4adc-802d-485def7aa0d7.jpg
frande,8/4/2013 17:40:00,8/4/2013 18:20:00,電,http://assets.thewall.tw/uploads/artist/avatar/284/large_bd1c5558-477f-4ff0-9a7b-9a78087fa1ce.jpg
diskonnected,8/4/2013 18:50:00,8/4/2013 20:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/296/large_d470d430-eb30-4351-84ca-62d469eda3c0.jpg
DVS1,8/4/2013 20:50:00,8/4/2013 23:50:00,電,http://assets.thewall.tw/uploads/artist/avatar/295/large_bea76a48-71d3-4bd1-998d-9be9454b9d2d.jpg
MATZKA樂團,8/4/2013 12:10:00,8/4/2013 12:50:00,野,http://assets.thewall.tw/uploads/artist/avatar/47/large_33416e96-63b2-4591-9aff-30195d1aca5e.jpg
